Name,Points,YP,Number,School,YDS,TDS,INT
Beau Burns,170.12,SO  QB/DB,#2,BGM,1803,26,6
Perrin Sulzle,157.4,JR  QB/LB,#7,Baxter,1710,23,3
Brodyn Pryor,163.68,SO  QB/DB,#8,Woodbine,1692,27,12
Keagan Lee,140.96,SO  QB/DB,#17,Easton Valley,1499,23,11
Mason McIntosh,95.52,SR  QB/LB,#16,West Harrison/Whiting,1238,13,6
Brady Boulton,156.6,SO  QB/DB,#1,Montezuma,1290,27,3
Slate Witte,95.68,SR  #7 GMG,,,1242,13,6
Kasey Hough,102.84,JR  QB/S,#11,GTRA,1171,15,4
Cooper Wierson,49.2,SO  QB/LB,#1,Collins-Maxwell,955,6,13
Dalton Mudderman,139.48,JR  QB/LB,#5,Kee,1337,23,6
Shane Helmick,156.04,SR  QB/DE,#12,Moravia,1326,27,5
Kooper Julseth,56.64,JR  WR/LB,#1,Northwood-Kensett,691,9,7
JT Laufersweiler,137.04,SR  QB/DB,#11,St. Edmond,1526,21,8
Blayne Smith,78.44,JR  QB/DB,#15,Ar-We-Va,911,12,6
Lucas Ahrenstorff,49.84,SR  QB/S,#1,Harris-Lake Park,721,7,7
Grant Whitehead,105.84,JR  QB/DB,#15,Sidney,1146,16,4
Chase Spieker,101.92,JR  QB/DB,#5,CAM,948,17,4
Judah Bielenberg,41.6,JR  QB/LB,#10,Siouxland Christian,890,4,10
Bode Wyman,47.8,JR  QB/CB,#8,Griswold,795,6,8
Caden Page,71.08,JR  QB/LB,#8,Murray,702,12,5
Caleb Urban,45.28,JR  WR/CB,#3,East Mills,557,8,9
Tate Foertsch,94.16,SO  QB/DB,#7,Bishop Garrigan,854,15,0
Christian Pierce,-0.88,SO  QB/S,#4,Rockford,328,0,14
Wyatt Oswald,59.4,JR  QB/LB,#10,Coon Rapids-Bayard,635,10,6
Clayton Miller,79.64,JR  QB/CB,#4,WACO,616,14,1
Dallas Smith,40.84,JR  QB/DB,#2,Twin Cedars,646,6,9
Jake Edwards,104.92,JR  QB/S,#3,Winfield-Mt Union,973,17,2
Jack Adams,60.28,JR  QB,#7,Riceville,557,10,2
Anthony Harrington,49.6,SO  QB/LB,#2,Midland,540,8,4
Jamison Ewing,48.84,SO  WR/CB,#8,Southeast Warren,496,8,3
Landon Waldschmitt,52.08,JR  QB/DB,#7,Remsen St. Mary's,577,8,3
Nolan Kriegel,72.4,FR  QB/DB,#2,Iowa Valley,810,11,4
Sawyer Forney,43.6,SO  #2 Fremont-Mills,,,540,7,6
Isaac Clark,96.32,SR  QB/LB,#12,Gladbrook-Reinbeck,833,16,1
Dylan Marquart,70.44,JR  QB/DB,#3,Dunkerton,636,12,3
Brogyn Greensky,75.56,SR  QB/LB,#4,North Iowa,764,12,3
Drew Urbanek,33.52,FR  QB/CB,#10,Tripoli,363,6,5
Aaron Olsen,19.96,JR  QB/S,#3,Audubon,399,2,4
Jameson Kilworth,45.0,SR  QB/DB,#8,Exira-EHK,625,6,4
Degin Dixson,40.0,SR  QB/CB,#3,Mormon Trail,525,6,5
Nolan Grebin,41.32,SR  QB/S,#2,Stanton/Essex,533,6,4
Kale Doeppke,27.64,SR  WR/DB,#5,Central Elkader,366,4,3
Brody Koch,31.84,SO  RB/LB,#5,Calamus-Wheatland,446,4,2
Gavin Menke-Bailey,48.76,JR  QB/LB,#5,New London,519,8,4
Ethan Bockelman,48.76,SR  QB/DB,#22,Lone Tree,519,8,4
Kambridge Wainscott,41.2,SR  QB/DB,#15,Waterloo Christian,430,7,4
Gabe Funk,70.2,JR  QB/DB,#17,Lenox,630,12,3
Logan Busta,60.8,SO  QB/DB,#1,Turkey Valley,470,11,2
Bryer Jack,29.56,FR  QB/DB,#14,HLV,314,5,3
Owen Garside,24.36,JR  S/QB,#3,Boyer Valley,284,4,3
Breckin Clatt,27.72,JR  QB/DB,#14,Colo-Nesco,293,5,4
Colby Wallace,25.92,JR  QB/S,#11,Glidden-Ralston,348,4,4
Kaiden Knaack,26.4,SR  #10 Don Bosco,,,335,4,3
Dane Appleby,44.52,JR  QB/LB,#4,Janesville,388,8,3
Seth Hudson,39.68,SR  QB/S,#7,East Union,392,7,4
Jed Tyler,18.56,SR  QB/DB,#7,West Central,389,2,5
Landon Montag,29.52,SR  RB/LB,#24,West Bend-Mallard,438,4,4
Johnathan Riesselman,6.32,SO  WR/DB,#7,Ar-We-Va,158,1,4
Ambrose Savage,14.08,JR  QB/LB,#12,Lamoni,352,2,8
Myles Grove,29.48,SR  QB/LB,#10,English Valleys,262,6,5
Reece Chiabotta,26.36,SO  QB/DB,#34,Melcher-Dallas,384,4,5
