Name,Points,YP,Number,School,YDS,TDS,INT
Perrin Sulzle,37.4,JR  QB/LB,#7,Baxter,335,6,0
Beau Burns,13.08,SO  QB/DB,#2,BGM,202,2,3
Keagan Lee,6.8,SO  QB/DB,#17,Easton Valley,145,1,3
Brodyn Pryor,29.24,SO  QB/DB,#8,Woodbine,231,5,0
Brady Boulton,17.36,SO  QB/DB,#1,Montezuma,134,3,0
Mason McIntosh,0.0,SR  QB/LB,#16,West Harrison/Whiting,0,0,0
Slate Witte,0.0,SR  #7 GMG,,,0,0,0
Kasey Hough,15.36,JR  QB/S,#11,GTRA,134,3,2
JT Laufersweiler,19.28,SR  QB/DB,#11,St. Edmond,207,3,1
Cooper Wierson,17.48,SO  QB/LB,#1,Collins-Maxwell,287,2,2
Blayne Smith,0.0,JR  QB/DB,#15,Ar-We-Va,0,0,0
Lucas Ahrenstorff,10.04,SR  QB/S,#1,Harris-Lake Park,151,1,0
Dalton Mudderman,37.4,JR  QB/LB,#5,Kee,235,7,0
Shane Helmick,20.08,SR  QB/DE,#12,Moravia,102,4,0
Grant Whitehead,0.0,JR  QB/DB,#15,Sidney,0,0,0
Kooper Julseth,17.12,JR  WR/LB,#1,Northwood-Kensett,128,3,0
Caden Page,0.0,JR  QB/LB,#8,Murray,0,0,0
Judah Bielenberg,0.0,JR  QB/LB,#10,Siouxland Christian,0,0,0
Caleb Urban,0.0,JR  WR/CB,#3,East Mills,0,0,0
Wyatt Oswald,14.44,JR  QB/LB,#10,Coon Rapids-Bayard,86,3,1
Dallas Smith,22.16,JR  QB/DB,#2,Twin Cedars,304,3,2
Bode Wyman,0.0,JR  QB/CB,#8,Griswold,0,0,0
Jake Edwards,19.8,JR  QB/S,#3,Winfield-Mt Union,95,4,0
Christian Pierce,4.52,SO  QB/S,#4,Rockford,163,0,2
Chase Spieker,21.04,JR  QB/DB,#5,CAM,126,4,0
Anthony Harrington,0.0,SO  QB/LB,#2,Midland,0,0,0
Jack Adams,6.24,JR  QB,#7,Riceville,56,1,0
Dylan Marquart,6.28,JR  QB/DB,#3,Dunkerton,82,1,1
Clayton Miller,13.88,JR  QB/CB,#4,WACO,47,3,0
Tate Foertsch,0.0,SO  QB/DB,#7,Bishop Garrigan,0,0,0
Landon Waldschmitt,0.0,JR  QB/DB,#7,Remsen St. Mary's,0,0,0
Nolan Kriegel,7.0,FR  QB/DB,#2,Iowa Valley,100,1,1
Jameson Kilworth,12.72,SR  QB/DB,#8,Exira-EHK,118,2,0
Sawyer Forney,2.48,SO  #2 Fremont-Mills,,,112,0,2
Degin Dixson,0.0,SR  QB/CB,#3,Mormon Trail,0,0,0
Jamison Ewing,19.2,SO  WR/CB,#8,Southeast Warren,180,3,0
Aaron Olsen,1.92,JR  QB/S,#3,Audubon,73,0,1
Nolan Grebin,0.0,SR  QB/S,#2,Stanton/Essex,0,0,0
Kale Doeppke,0.92,SR  WR/DB,#5,Central Elkader,23,0,0
Brogyn Greensky,0.0,SR  QB/LB,#4,North Iowa,0,0,0
Gavin Menke-Bailey,6.56,JR  QB/LB,#5,New London,89,1,1
Isaac Clark,-1.0,SR  QB/LB,#12,Gladbrook-Reinbeck,0,0,1
Kambridge Wainscott,0.0,SR  QB/DB,#15,Waterloo Christian,0,0,0
Drew Urbanek,0.0,FR  QB/CB,#10,Tripoli,0,0,0
Brody Koch,1.2,SO  RB/LB,#5,Calamus-Wheatland,30,0,0
Gabe Funk,11.96,JR  QB/DB,#17,Lenox,99,2,0
Breckin Clatt,0.0,JR  QB/DB,#14,Colo-Nesco,0,0,0
Logan Busta,12.28,SO  QB/DB,#1,Turkey Valley,107,2,0
Colby Wallace,12.4,JR  QB/S,#11,Glidden-Ralston,110,2,0
Seth Hudson,16.32,SR  QB/S,#7,East Union,108,3,0
Landon Montag,5.72,SR  RB/LB,#24,West Bend-Mallard,43,1,0
Owen Garside,6.52,JR  S/QB,#3,Boyer Valley,63,1,0
Kaiden Knaack,0.0,SR  #10 Don Bosco,,,0,0,0
Ethan Bockelman,5.72,SR  QB/DB,#22,Lone Tree,68,1,1
Ambrose Savage,-0.24,JR  QB/LB,#12,Lamoni,19,0,1
Myles Grove,0.0,SR  QB/LB,#10,English Valleys,0,0,0
Jed Tyler,2.16,SR  QB/DB,#7,West Central,54,0,0
Max Carlson,0.0,JR  QB/LB,#10,Newell-Fonda,0,0,0
McKoy Nuss,0.0,SO  QB/LB,#13,Tripoli,0,0,0
Braden Jordan,5.88,SO  QB/LB,#10,Springville,72,1,1
Zach Thornburg,0.0,SR  QB/CB,#9,East Mills,0,0,0
Luke Cripps,0.0,SR  QB/S,#1,Boyer Valley,0,0,0
Jayden Hanson,10.56,SR  QB/DB,#7,Central City,64,2,0
Ty Alcott,0.0,JR  RB/DB,#24,Belle Plaine,0,0,0
Reece Chiabotta,0.0,SO  QB/DB,#34,Melcher-Dallas,0,0,0
Dane Appleby,0.0,JR  QB/LB,#4,Janesville,0,0,0
Luke Brennan,0.0,SO  QB/DB,#6,Montezuma,0,0,0
Bryer Jack,0.0,FR  QB/DB,#14,HLV,0,0,0
Isaac Loan,0.0,SO  QB/DB,#12,Central Elkader,0,0,0
Conner Nally,0.0,SR  QB/LB,#5,Bedford,0,0,0
Austin Lack,0.0,SR  WR/DB,#3,East Union,0,0,0
Max Henstorf,0.0,SR  QB/LB,#7,HLV,0,0,0
Pryce Rochford,0.0,JR  QB,#22,Edgewood-Colesburg,0,0,0
Keegan Chew,3.12,FR  QB/S,#7,Murray,78,0,0
Caybrin Schilling,0.0,SO  QB/DB,#7,Dunkerton,0,0,0
Mason Hoy,0.0,SO  RB/CB,#9,Springville,0,0,0
Preston Kulper,0.2,SO  WR/DB,#81,Central Elkader,30,0,1
Jack Angell,5.72,SO  QB/DB,#18,Colo-Nesco,43,1,0
Carson Ingles,0.0,SO  RB,#1,Edgewood-Colesburg,0,0,0
Wyatt Silk,0.0,SO  WR/CB,#15,Griswold,0,0,0
Eli Schmidt,6.08,SR  RB/S,#3,Clarksville,52,1,0
Johnny Milburn,1.0,JR  QB/DB,#13,Southeast Warren,25,0,0
Johnathan Riesselman,0.0,SO  WR/DB,#7,Ar-We-Va,0,0,0
Quintin White,0.0,SR  WR/DB,#3,Exira-EHK,0,0,0
Brayden Svejda,0.0,JR  QB/CB,#1,Calamus-Wheatland,0,0,0
Aidan Timm,0.0,SO  QB/DB,#9,Belle Plaine,0,0,0
Dreyson Morgan,0.0,SO  WR/DB,#10,Gladbrook-Reinbeck,0,0,0
Alex Tiedemann,0.52,SO  QB/DB,#34,Northwood-Kensett,13,0,0
Nolan Birdsall,0.0,JR  RB/LB,#2,West Harrison/Whiting,0,0,0
Holden Roberts,5.6,SO  TE/DE,#13,Twin Cedars,40,1,0
Colby Eskildsen,0.0,JR  TE/DL,#12,Northwood-Kensett,0,0,0
Dane Ballou,-0.96,FR  QB/LB,#17,Midland,1,0,1
Oliver Schmitt,6.16,SR  FB,#22,Turkey Valley,54,1,0
Cale Langreck,0.0,FR  QB/LB,#10,Turkey Valley,0,0,0
Hayden Shelman,0.24,FR  DB/RB,#15,WACO,6,0,0
Gunnar Smith,0.12,SO  QB,#6,Riceville,3,0,0
Brock Binkley,0.0,FR  QB/DB,#8,Lamoni,0,0,0
Keenan Foland,0.0,FR  QB/S,#1,West Harrison/Whiting,0,0,0
Logan French,0.0,SR  WR/DB,#1,Stanton/Essex,0,0,0
Jacob Martin,0.0,JR  RB/LB,#3,Stanton/Essex,0,0,0
MaKade Bloker,0.0,SR  RB/LB,#11,Clarksville,0,0,0
Talan Jacobsen,0.0,FR  QB/LB,#10,North Iowa,0,0,0
Leo Schrader,0.0,FR  QB/DB,#23,Melcher-Dallas,0,0,0
Kale Moore,0.16,FR  QB/DB,#14,Moravia,4,0,0
Ethan Bridgewater,0.0,SO  RB/LB,#35,BGM,0,0,0
Drew Muller,0.0,JR  QB/DE,#6,Bishop Garrigan,0,0,0
Carson Wessel,0.0,SO  QB/LB,#9,Audubon,0,0,0
Matthew Klostermann,0.0,JR  RB/LB,#22,Central City,0,0,0
Trey Cota,0.0,FR  QB/LB,#10,Kee,0,0,0
Carter Smith,0.0,JR  C/DT,#70,Baxter,0,0,0
