Name,Points,YP,Number,School,YDS,TDS,INT
Perrin Sulzle,18.72,JR  QB/LB,#7,Baxter,168,3,0
Keagan Lee,36.6,SO  QB/DB,#17,Easton Valley,365,6,2
Beau Burns,30.76,SO  QB/DB,#2,BGM,419,4,2
Blayne Smith,17.64,JR  QB/DB,#15,Ar-We-Va,141,3,0
Brady Boulton,6.8,SO  QB/DB,#1,Montezuma,120,1,2
Slate Witte,30.92,SR  #7 GMG,,,373,4,0
Shane Helmick,19.32,SR  QB/DE,#12,Moravia,208,3,1
Kooper Julseth,1.2,JR  WR/LB,#1,Northwood-Kensett,55,0,1
Brodyn Pryor,51.2,SO  QB/DB,#8,Woodbine,455,9,3
Grant Whitehead,27.72,JR  QB/DB,#15,Sidney,243,5,2
Kasey Hough,14.92,JR  QB/S,#11,GTRA,173,2,0
Caden Page,10.68,JR  QB/LB,#8,Murray,67,2,0
Dalton Mudderman,28.16,JR  QB/LB,#5,Kee,304,5,4
Judah Bielenberg,18.52,JR  QB/LB,#10,Siouxland Christian,238,3,3
JT Laufersweiler,28.84,SR  QB/DB,#11,St. Edmond,271,5,2
Anthony Harrington,10.0,SO  QB/LB,#2,Midland,175,1,1
Caleb Urban,27.92,JR  WR/CB,#3,East Mills,223,5,1
Lucas Ahrenstorff,6.2,SR  QB/S,#1,Harris-Lake Park,80,1,1
Jake Edwards,28.0,JR  QB/S,#3,Winfield-Mt Union,300,4,0
Clayton Miller,7.56,JR  QB/CB,#4,WACO,89,1,0
Cooper Wierson,4.76,SO  QB/LB,#1,Collins-Maxwell,44,1,1
Wyatt Oswald,2.68,JR  QB/LB,#10,Coon Rapids-Bayard,67,0,0
Brogyn Greensky,36.08,SR  QB/LB,#4,North Iowa,327,6,1
Kambridge Wainscott,0.0,SR  QB/DB,#15,Waterloo Christian,0,0,0
Degin Dixson,3.36,SR  QB/CB,#3,Mormon Trail,84,0,0
Dylan Marquart,0.0,JR  QB/DB,#3,Dunkerton,0,0,0
Jack Adams,17.08,JR  QB,#7,Riceville,127,3,0
Nolan Kriegel,7.92,FR  QB/DB,#2,Iowa Valley,123,1,1
Tate Foertsch,0.0,SO  QB/DB,#7,Bishop Garrigan,0,0,0
Isaac Clark,33.32,SR  QB/LB,#12,Gladbrook-Reinbeck,233,6,0
Chase Spieker,19.92,JR  QB/DB,#5,CAM,198,3,0
Kale Doeppke,12.56,SR  WR/DB,#5,Central Elkader,114,2,0
Jamison Ewing,14.48,SO  WR/CB,#8,Southeast Warren,87,3,1
Sawyer Forney,6.48,SO  #2 Fremont-Mills,,,87,1,1
Landon Waldschmitt,9.36,JR  QB/DB,#7,Remsen St. Mary's,59,2,1
Aaron Olsen,5.96,JR  QB/S,#3,Audubon,49,1,0
Jameson Kilworth,0.0,SR  QB/DB,#8,Exira-EHK,0,0,0
Dallas Smith,0.0,JR  QB/DB,#2,Twin Cedars,0,0,0
Kaiden Knaack,2.08,SR  #10 Don Bosco,,,52,0,0
Gabe Funk,16.44,JR  QB/DB,#17,Lenox,111,3,0
Max Carlson,4.28,JR  QB/LB,#10,Newell-Fonda,57,1,2
Breckin Clatt,2.8,JR  RB/DB,#14,Colo-Nesco,70,0,0
Drew Urbanek,5.08,FR  QB/CB,#10,Tripoli,52,1,1
Gavin Menke-Bailey,0.0,JR  QB/LB,#5,New London,0,0,0
Myles Grove,9.8,SR  QB/LB,#10,English Valleys,95,2,2
Zach Thornburg,0.0,SR  QB/CB,#9,East Mills,0,0,0
Luke Cripps,0.0,SR  QB/S,#1,Boyer Valley,0,0,0
Ty Alcott,5.76,JR  RB/DB,#24,Belle Plaine,69,1,1
Brody Koch,14.12,SO  RB/LB,#5,Calamus-Wheatland,153,2,0
McKoy Nuss,-1.68,SO  QB/LB,#13,Tripoli,33,0,3
Seth Hudson,0.0,SR  QB/S,#7,East Union,0,0,0
Landon Montag,7.96,SR  RB/LB,#24,West Bend-Mallard,99,1,0
Bode Wyman,4.0,JR  QB/CB,#8,Griswold,100,0,0
