Name,Points,YP,Number,School,YDS,TDS,INT
Perrin Sulzle,14.0,JR  QB/LB,#7,Baxter,175,2,1
Beau Burns,18.76,SO  QB/DB,#2,BGM,269,2,0
Keagan Lee,-0.8,SO  QB/DB,#17,Easton Valley,55,0,3
Brodyn Pryor,12.52,SO  QB/DB,#8,Woodbine,113,2,0
Kasey Hough,12.8,JR  QB/S,#11,GTRA,120,2,0
Slate Witte,6.28,SR  #7 GMG,,,57,1,0
Blayne Smith,20.92,JR  QB/DB,#15,Ar-We-Va,248,3,1
JT Laufersweiler,-1.2,SR  QB/DB,#11,St. Edmond,45,0,3
Lucas Ahrenstorff,15.08,SR  QB/S,#1,Harris-Lake Park,202,2,1
Brady Boulton,14.88,SO  QB/DB,#1,Montezuma,172,2,0
Mason McIntosh,0.0,SR  QB/LB,#16,West Harrison/Whiting,0,0,0
Dalton Mudderman,26.12,JR  QB/LB,#5,Kee,253,4,0
Shane Helmick,12.8,SR  QB/DE,#12,Moravia,195,2,3
Cooper Wierson,3.32,SO  QB/LB,#1,Collins-Maxwell,83,0,0
Kambridge Wainscott,0.36,SR  QB/DB,#15,Waterloo Christian,34,0,1
Judah Bielenberg,4.84,JR  QB/LB,#10,Siouxland Christian,46,1,1
Kooper Julseth,0.0,JR  WR/LB,#1,Northwood-Kensett,0,0,0
Bode Wyman,6.64,JR  QB/CB,#8,Griswold,116,1,2
Grant Whitehead,0.0,JR  QB/DB,#15,Sidney,0,0,0
Chase Spieker,5.16,JR  QB/DB,#5,CAM,29,1,0
Tate Foertsch,1.2,SO  QB/DB,#7,Bishop Garrigan,30,0,0
Caden Page,11.0,JR  QB/LB,#8,Murray,75,2,0
Wyatt Oswald,0.96,JR  QB/LB,#10,Coon Rapids-Bayard,49,0,1
Gavin Menke-Bailey,24.44,JR  QB/LB,#5,New London,236,4,1
Dylan Marquart,6.36,JR  QB/DB,#3,Dunkerton,59,1,0
Isaac Clark,6.08,SR  QB/LB,#12,Gladbrook-Reinbeck,52,1,0
Jack Adams,3.6,JR  QB,#7,Riceville,140,0,2
Jamison Ewing,-0.28,SO  WR/CB,#8,Southeast Warren,43,0,2
Caleb Urban,0.0,JR  WR/CB,#3,East Mills,0,0,0
Landon Waldschmitt,0.0,JR  QB/DB,#7,Remsen St. Mary's,0,0,0
Jake Edwards,6.16,JR  QB/S,#3,Winfield-Mt Union,54,1,0
Jameson Kilworth,13.0,SR  QB/DB,#8,Exira-EHK,125,2,0
Degin Dixson,6.84,SR  QB/CB,#3,Mormon Trail,121,1,2
Brogyn Greensky,10.64,SR  QB/LB,#4,North Iowa,91,2,1
Christian Pierce,0.0,SO  QB/S,#4,Rockford,0,0,0
Clayton Miller,0.0,JR  QB/CB,#4,WACO,0,0,0
Sawyer Forney,2.0,SO  #2 Fremont-Mills,,,50,0,0
Dallas Smith,0.0,JR  QB/DB,#2,Twin Cedars,0,0,0
Kale Doeppke,0.0,SR  WR/DB,#5,Central Elkader,0,0,0
Nolan Kriegel,1.44,FR  QB/DB,#2,Iowa Valley,36,0,0
Anthony Harrington,0.0,SO  QB/LB,#2,Midland,0,0,0
Nolan Grebin,-0.8,SR  QB/S,#2,Stanton/Essex,30,0,2
Drew Urbanek,0.0,FR  QB/CB,#10,Tripoli,0,0,0
Seth Hudson,4.92,SR  QB/S,#7,East Union,73,1,2
Aaron Olsen,4.52,JR  QB/S,#3,Audubon,13,1,0
Gabe Funk,7.12,JR  QB/DB,#17,Lenox,78,1,0
Logan Busta,6.4,SO  QB/DB,#1,Turkey Valley,60,1,0
Brody Koch,0.0,SO  RB/LB,#5,Calamus-Wheatland,0,0,0
Ethan Bockelman,4.72,SR  QB/DB,#22,Lone Tree,18,1,0
Landon Montag,21.4,SR  RB/LB,#24,West Bend-Mallard,185,4,2
Breckin Clatt,-0.64,JR  QB/DB,#14,Colo-Nesco,9,0,1
Dane Appleby,1.52,JR  QB/LB,#4,Janesville,38,0,0
Bryer Jack,0.56,FR  QB/DB,#14,HLV,14,0,0
Owen Garside,-0.12,JR  S/QB,#3,Boyer Valley,22,0,1
Kaiden Knaack,0.0,SR  #10 Don Bosco,,,0,0,0
Myles Grove,-0.12,SR  QB/LB,#10,English Valleys,22,0,1
Jed Tyler,2.64,SR  QB/DB,#7,West Central,66,0,0
Colby Wallace,0.4,JR  QB/S,#11,Glidden-Ralston,10,0,0
Braden Jordan,4.2,SO  QB/LB,#10,Springville,5,1,0
Jayden Hanson,11.96,SR  QB/DB,#7,Central City,99,2,0
Johnathan Riesselman,0.0,SO  WR/DB,#7,Ar-We-Va,0,0,0
