Name,Points,Year,Position,Number,School,YDS,TDS
Colby Wallace,55.6,JR,QB/S,#11,Glidden-Ralston,196.0,6.0
Aaron Olsen,34.4,JR,QB/S,#3,Audubon,224.0,2.0
Ambrose Savage,17.8,JR,RB/LB,#12,Lamoni,118.0,1.0
Oliver Schmitt,9.4,SR,FB,#22,Turkey Valley,94.0,0.0
Judah Bielenberg,11.2,JR,QB/LB,#10,Siouxland Christian,112.0,0.0
Dane Appleby,26.3,JR,QB/LB,#4,Janesville,83.0,3.0
Andrew Beran,5.4,JR,RB,#2,Riceville,54.0,0.0
Gavin Menke-Bailey,26.1,JR,QB/LB,#5,New London,141.0,2.0
Myles Grove,13.5,SR,QB/LB,#10,English Valleys,75.0,1.0
Ty Alcott,0.0,JR,RB/DB,#24,Belle Plaine,0.0,0.0
Nolan Gannon,33.5,FR,RB/LB,#34,Murray,215.0,2.0
Landon Montag,30.7,SR,RB/LB,#24,West Bend-Mallard,127.0,3.0
MaKade Bloker,23.5,SR,RB/LB,#11,Clarksville,115.0,2.0
Jameson Kilworth,11.1,SR,QB/DB,#8,Exira-EHK,51.0,1.0
Braxton Blackburn,33.4,SR,,#10,Fremont-Mills,94.0,4.0
Breckin Clatt,6.9,JR,QB/DB,#14,Colo-Nesco,69.0,0.0
Evan Alt,22.1,SR,RB/LB,#4,Audubon,101.0,2.0
Carson Ingles,2.1,SO,RB,#1,Edgewood-Colesburg,21.0,0.0
Adam Scott,52.0,SR,RB/LB,#26,West Central,220.0,5.0
Nolan Kriegel,48.2,FR,QB/DB,#2,Iowa Valley,182.0,5.0
Brogyn Greensky,26.7,SR,QB/LB,#4,North Iowa,147.0,2.0
Mason Hoy,32.0,SO,RB/CB,#9,Springville,200.0,2.0
Wyatt Oswald,30.0,JR,QB/LB,#10,Coon Rapids-Bayard,180.0,2.0
Josef Dvorak,7.5,JR,RB/DB,#25,Collins-Maxwell,75.0,0.0
Ethan Bockelman,18.7,SR,QB/DB,#22,Lone Tree,67.0,2.0
Kaiden Knaack,9.9,SR,,#10,Don Bosco,39.0,1.0
JT Laufersweiler,6.6,SR,QB/DB,#11,St. Edmond,66.0,0.0
Triton Gwinn,13.3,SR,RB/LB,#22,Mormon Trail,73.0,1.0
Beau Burns,22.6,SO,QB/DB,#2,BGM,106.0,2.0
Brody Koch,21.9,SO,RB/LB,#5,Calamus-Wheatland,99.0,2.0
Max Henstorf,8.7,SR,QB/LB,#7,HLV,27.0,1.0
Emmett Snyder,10.0,SR,RB/S,#29,Glidden-Ralston,100.0,0.0
Kasey Hough,13.2,JR,QB/S,#11,GTRA,72.0,1.0
Cooper Wierson,26.5,SO,QB/LB,#1,Collins-Maxwell,145.0,2.0
Slate Witte,15.3,SR,,#7,GMG,93.0,1.0
Perrin Sulzle,4.1,JR,QB/LB,#7,Baxter,41.0,0.0
Jamison Ewing,4.2,SO,WR/CB,#8,Southeast Warren,42.0,0.0
Cole Fehr,5.6,JR,RB/LB,#33,West Bend-Mallard,56.0,0.0
Kooper Julseth,0.0,JR,WR/LB,#1,Northwood-Kensett,0.0,0.0
Michael Hensley,2.6,JR,RB/LB,#6,Sidney,26.0,0.0
Maddox Jondle,46.4,JR,QB/LB,#11,Lone Tree,224.0,4.0
Shane Helmick,26.7,SR,QB/DE,#12,Moravia,147.0,2.0
Landon Waldschmitt,0.0,JR,QB/DB,#7,Remsen St. Mary's,0.0,0.0
Caden Roethler,19.1,SR,FB/LB,#20,Bishop Garrigan,131.0,1.0
